material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,Loo_norm_Error,L2_norm_Error
Ag-aSi,exp1,21,1,15636005.412064534,40.02237322046438,0.0029016286435307433,0.0026915823521376425
Ag-aSi,exp1,21,10,15804895.268667426,40.35737837493053,0.01889737798269399,0.018397094313484845
Ag-aSi,exp1,21,100,15627022.57646747,40.005970816648194,0.00233553765752895,0.0021284214898044593
Ag-aSi,exp1,21,11,15659086.979916777,40.06684045983546,0.002256636224843824,0.0020464687861272233
Ag-aSi,exp1,21,12,15630974.965836773,40.039558940035256,0.0089392185700643,0.008935574003995531
Ag-aSi,exp1,21,13,15651279.942184461,40.05880111775991,0.002615977849250506,0.002397498144232111
Ag-aSi,exp1,21,14,15632105.949378354,40.03544043710626,0.009950214721689046,0.009751328679813423
Ag-aSi,exp1,21,15,15555784.74613835,39.881277690770276,0.009478861021326612,0.009105939511385991
Ag-aSi,exp1,21,16,15484376.58478137,39.762994620356324,0.01591244347171014,0.015701792869164337
Ag-aSi,exp1,21,17,15484376.58478137,39.76299462145328,0.01591244347171014,0.015701792869164337
Ag-aSi,exp1,21,18,18465851.371402565,47.50954962690858,0.013271438166247838,0.012957269805328108
Ag-aSi,exp1,21,19,15646382.788790626,40.06290743609861,0.0044598350341918235,0.004248187775012176
Ag-aSi,exp1,21,2,15634368.654516878,40.047203090603475,0.010157697089408052,0.010154574375714726
Ag-aSi,exp1,21,20,15612058.056387514,39.97243526050437,0.003871011758707786,0.0038431379339251034
Ag-aSi,exp1,21,21,15637328.778332138,40.051645323772355,0.010159827842119329,0.010156890090428047
Ag-aSi,exp1,21,22,15451329.40815681,39.63288456848478,0.004070897424272704,0.003577468723305398
Ag-aSi,exp1,21,23,15637471.115750678,40.05943302715567,0.011388790829668946,0.011386750700739981
Ag-aSi,exp1,21,24,15618879.596741393,40.00524160755196,0.007039335493271751,0.00684090779029341
Ag-aSi,exp1,21,25,15631965.009747563,40.024375299133666,0.006419066630268347,0.006413589911401778
Ag-aSi,exp1,21,26,15617419.01980607,40.021229896693875,0.013641144334873678,0.013631333582126265
Ag-aSi,exp1,21,27,15632333.266476631,40.062387022976964,0.015249465941907571,0.01524651441441152
Ag-aSi,exp1,21,28,15616561.341710638,39.980719875655936,0.0038627353583564933,0.0038361772168224043
Ag-aSi,exp1,21,29,15616561.341710638,39.980719876037796,0.0038627353583564933,0.0038361772168224043
Ag-aSi,exp1,21,3,15634724.374089181,40.054563658699784,0.011413990707443354,0.011411574334570797
Ag-aSi,exp1,21,30,15451329.40815681,39.632884568534564,0.004070897424272704,0.003577468723305398
Ag-aSi,exp1,21,31,15632399.589996811,40.03192314685002,0.007629531295279106,0.00762378028010961
Ag-aSi,exp1,21,32,15641338.634999821,40.07413123839626,0.012633623426641738,0.012631753128065809
Ag-aSi,exp1,21,33,15644919.261775194,40.036068287422175,0.001960584132336611,0.0017434134276201067
Ag-aSi,exp1,21,34,15656845.373206014,40.08745037422979,0.004676962195635419,0.004461913805504523
