material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,Loo_norm_Error,L2_norm_Error
Ag-aSi,exp1,11,1,450.9150331520484,0.002061336193921305,0.030116956308075947,0.018315851260869518
Ag-aSi,exp1,11,10,443.84838315204786,0.0020493289762986253,0.0016529675740680617,0.0007888155976136657
Ag-aSi,exp1,11,100,455.0052331520497,0.0020622934702987615,0.04757058892549454,0.03539664934996291
Ag-aSi,exp1,11,11,450.1933831520497,0.0020479131974647066,0.0044194125120647415,0.0027075966775595563
Ag-aSi,exp1,11,12,454.83063315204976,0.002053806123406619,0.032578148913387214,0.020491281106807226
Ag-aSi,exp1,11,13,460.0911331520503,0.002065703220785309,0.06323367954740974,0.051560234562490904
Ag-aSi,exp1,11,14,446.49948315205097,0.0020537168307013056,0.0021738956528489593,0.0008826961580047569
Ag-aSi,exp1,11,15,443.87148315204973,0.002043082866788063,0.0024481917644903948,0.0014231618709076163
Ag-aSi,exp1,11,16,450.93198315205245,0.0020496138091114042,0.00522672659926073,0.003689200020609353
Ag-aSi,exp1,11,17,436.48998315205023,0.002023953448966964,0.01943108029759837,0.007538592293783599
Ag-aSi,exp1,11,18,449.51763315205034,0.002060186883974811,0.057202047705934844,0.04562039550872582
Ag-aSi,exp1,11,19,447.2487331520482,0.0020507439589621907,0.026838871880094383,0.014234284806797486
Ag-aSi,exp1,11,2,446.2299331520524,0.002053656958288045,0.0018488458468014417,0.0008969079780232803
Ag-aSi,exp1,11,20,448.38903315204954,0.0020462419556773947,0.004231997046197198,0.002777189701316245
Ag-aSi,exp1,11,21,474.2619331520489,0.002060554317997915,0.04952979982446562,0.03746258474778962
Ag-aSi,exp1,11,22,449.6071831520504,0.0020606185890215956,0.0569183938004042,0.045227501376595466
Ag-aSi,exp1,11,23,449.7748831520492,0.0020476824512485154,0.0039349620831034314,0.002052938859257471
Ag-aSi,exp1,11,24,440.06148315204894,0.0020388629664628874,0.020285573939131215,0.008353768993111398
Ag-aSi,exp1,11,25,450.6925831520522,0.0020461182856414376,0.005084103495616963,0.003941109145350529
Ag-aSi,exp1,11,26,448.38903315204954,0.0020462419556773947,0.004231997046197198,0.002777189701316245
Ag-aSi,exp1,11,27,444.61353315205065,0.0020538825568230164,0.0018487494206341803,0.0006987174629553534
Ag-aSi,exp1,11,28,455.0052331520497,0.0020622934702987615,0.04757058892549454,0.03539664934996291
Ag-aSi,exp1,11,29,442.8934831520522,0.0020431412180782226,0.0030880611437805123,0.0015958114719276987
Ag-aSi,exp1,11,3,445.503783152048,0.0020314457037435758,0.006819638408439764,0.005485936735471134
Ag-aSi,exp1,11,30,448.2843331520514,0.0020544501713928055,0.0022820066512430253,0.0013347382006980999
Ag-aSi,exp1,11,31,445.90803315205017,0.002058368644257972,0.0015094483350199849,0.0006644625985967926
Ag-aSi,exp1,11,32,449.8227331520513,0.0020509864009475754,0.0048646819206032334,0.0015818034097058362
Ag-aSi,exp1,11,33,440.2698331520492,0.00204444100785827,0.02481205245884339,0.012911768440351008
Ag-aSi,exp1,11,34,447.13698315205147,0.0020549093013142593,0.0025575172046066693,0.0016283205579613116
Ag-aSi,exp1,11,35,448.38903315204954,0.0020462419556773947,0.004231997046197198,0.002777189701316245
Ag-aSi,exp1,11,36,444.61353315205065,0.0020538825568230164,0.0018487494206341803,0.0006987174629553534
Ag-aSi,exp1,11,37,448.0626331520509,0.0020575465291632995,0.05799903803935849,0.04622499360344375
Ag-aSi,exp1,11,38,449.7588331520507,0.002056776262614435,0.022274984046904783,0.0125265815491988
Ag-aSi,exp1,11,39,443.9113831520499,0.0020432924588389815,0.02950244249023693,0.01700944231496198
Ag-aSi,exp1,11,4,442.8934831520522,0.0020431412180782226,0.0030880611437805123,0.0015958114719276987
Ag-aSi,exp1,11,40,443.6781331520515,0.0020490674353913383,0.001741671050654525,0.0007627918666531832
Ag-aSi,exp1,11,41,447.05628315204956,0.0020571815257188404,0.04370642605155706,0.03193826304427334
Ag-aSi,exp1,11,42,454.17438315205055,0.002067361590666057,0.060947138904794945,0.04960720908701603
Ag-aSi,exp1,11,43,447.13698315205147,0.0020549093013142593,0.0025575172046066693,0.0016283205579613116
Ag-aSi,exp1,11,44,450.3121831520499,0.0020500387487913103,0.004425292320680653,0.001765603493274923
Ag-aSi,exp1,11,45,444.1170331520483,0.0020504742888416373,0.02805836045906336,0.015906635525793206
Ag-aSi,exp1,11,46,447.05193315205184,0.0020433674455882928,0.00773494501356789,0.006672996439370753
Ag-aSi,exp1,11,47,470.6407831520502,0.0020595964037824393,0.04883377950880973,0.03666894060838839
Ag-aSi,exp1,11,48,449.1346831520504,0.0020521356140287316,0.029461272470788526,0.017701944337245396
Ag-aSi,exp1,11,49,451.60848315204953,0.0020537515591269825,0.030821746198293278,0.01869225678268191
Ag-aSi,exp1,11,5,444.02133315205,0.0020399565407832215,0.0059734150162101,0.005170206543692106
Ag-aSi,exp1,11,50,448.2843331520514,0.0020544501713928055,0.0022820066512430253,0.0013347382006980999
Ag-aSi,exp1,11,51,446.8683331520511,0.002053765941429014,0.002263437219552238,0.001366661795667358
Ag-aSi,exp1,11,52,433.22883315205223,0.0020381756983227617,0.0070414143992222605,0.004934099974215833
Ag-aSi,exp1,11,53,448.77558315204993,0.0020518284398994666,0.029717834616475935,0.01802875473032125
Ag-aSi,exp1,11,54,446.02863315205025,0.0020557544901257446,0.002547977206977572,0.0011325972351048062
Ag-aSi,exp1,11,55,448.0626331520509,0.0020575465291632995,0.05799903803935849,0.04622499360344375
Ag-aSi,exp1,11,56,437.33313315204924,0.0020483461237395086,0.0318626553939589,0.02095964967020683
Ag-aSi,exp1,11,57,450.73068315205046,0.002050269028062602,0.00397672804904971,0.0023921953272348804
Ag-aSi,exp1,11,58,439.46208315205223,0.0020254836069841737,0.01989960192407083,0.008265552401460657
Ag-aSi,exp1,11,59,443.6781331520515,0.0020490674353913383,0.001741671050654525,0.0007627918666531832
Ag-aSi,exp1,11,6,439.45233315204837,0.002041031878025189,0.023367754230096342,0.011198444699689277
Ag-aSi,exp1,11,60,449.8102831520512,0.002054561330648659,0.0032144219629937384,0.0020604790833547264
Ag-aSi,exp1,11,61,444.1170331520483,0.0020504742888416373,0.02805836045906336,0.015906635525793206
Ag-aSi,exp1,11,62,438.1302331520519,0.00205030338379383,0.00816976959257965,0.00583776866112621
Ag-aSi,exp1,11,63,446.8683331520511,0.002053765941429014,0.002263437219552238,0.001366661795667358
Ag-aSi,exp1,11,64,450.1933831520497,0.0020479131974647066,0.0044194125120647415,0.0027075966775595563
Ag-aSi,exp1,11,65,445.8141331520519,0.0020489294008602084,0.003285831951726896,0.0022401835696954295
Ag-aSi,exp1,11,66,440.06148315204894,0.0020388629664628874,0.020285573939131215,0.008353768993111398
Ag-aSi,exp1,11,67,446.02863315205025,0.0020557544901257446,0.002547977206977572,0.0011325972351048062
Ag-aSi,exp1,11,68,439.20228315204974,0.002040863797896068,0.034190022718079395,0.02379976853401361
Ag-aSi,exp1,11,69,451.31853315205115,0.0020516706875138148,0.00392026569218631,0.0021177514474090605
Ag-aSi,exp1,11,7,451.60848315204953,0.0020537515591269825,0.030821746198293278,0.01869225678268191
Ag-aSi,exp1,11,70,453.56883315205164,0.0020602133232644686,0.06135692349603012,0.049393495772640454
