material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error
Ag-aSi,exp1,100,1,83.86310239704949,0.00014176732237530335,2.1553627101679855,0.4807593218862394
Ag-aSi,exp1,100,10,81.53300239704954,0.00013904174177357728,0.6406103697662049,0.13678696830823966
Ag-aSi,exp1,100,2,83.51048239704951,0.00014040164333936476,0.21094290293819443,0.050678098857726894
Ag-aSi,exp1,100,3,84.60182239704947,0.00014245809867424476,0.19620360977199014,0.040577662452058405
Ag-aSi,exp1,100,4,83.9570623970495,0.00014167120786455712,0.3060684703528588,0.056851029125482455
Ag-aSi,exp1,100,5,117.45920239704951,0.00014975632412489968,2.7768176005619316,0.5737591215730209
Ag-aSi,exp1,100,6,83.70164239704948,0.00014134802883366388,2.2456602187991823,0.49731514667431753
Ag-aSi,exp1,100,7,83.64737239704948,0.00014127598703192622,0.1970617756624686,0.04263196545166181
Ag-aSi,exp1,100,8,85.85219239704948,0.00014344371449245821,2.6091263083736513,0.5398001431093462
Ag-aSi,exp1,100,9,86.37197239704939,0.0001437691172140028,0.9208107889192207,0.13953084823817008
Ag-aSi,exp1,1,1,51.88563022397052,8.381665485440022e-05,44.3615453938677,5.99866252056686
Ag-aSi,exp1,1,10,51.88563022397052,8.373767878171977e-05,45.12290935468178,6.090974693732081
Ag-aSi,exp1,1,2,51.88563022397052,8.36793568429848e-05,49.35160421807352,6.614039731991053
Ag-aSi,exp1,1,3,51.88563022397052,8.360268815905306e-05,50.03972835264835,6.697192554647833
Ag-aSi,exp1,1,4,51.88563022397052,8.375718834993914e-05,44.934045097675124,6.067688443706263
Ag-aSi,exp1,1,5,51.88563022397052,8.371783973191799e-05,48.988415427479275,6.570249940387676
Ag-aSi,exp1,1,6,51.88563022397052,8.354620456862977e-05,50.56974801201505,6.761686050316758
Ag-aSi,exp1,1,7,51.88563022397052,8.362164181420938e-05,49.874228080403014,6.6777811054033815
Ag-aSi,exp1,1,8,51.88563022397052,8.366011065006712e-05,49.52284172334661,6.633709765637983
Ag-aSi,exp1,1,9,51.88563022397052,8.37179630903867e-05,48.988415427479275,6.570249940387676
Ag-aSi,exp1,50,1,82.89595119852474,0.00014025750437997336,0.1233475335582387,0.03154932835478519
Ag-aSi,exp1,50,10,82.94455119852472,0.00014100952416349886,0.8780865972918334,0.16007837740242437
Ag-aSi,exp1,50,2,82.9553511985247,0.00014028578011162054,1.121169411058466,0.3492160048921029
Ag-aSi,exp1,50,3,84.4214511985247,0.00014185274357947104,0.4185465090842867,0.07229075171843391
Ag-aSi,exp1,50,4,82.90297119852472,0.00014037501695313674,0.10498093925416259,0.029464259016716454
Ag-aSi,exp1,50,5,84.09502119852472,0.0001400008271653367,0.39505474590825185,0.07287530373534423
Ag-aSi,exp1,50,6,83.50399119852469,0.00014040506622480024,2.533077946249759,0.531329911673275
Ag-aSi,exp1,50,7,86.1292011985247,0.00014153066007526326,0.9500053135063189,0.14642652219257002
Ag-aSi,exp1,50,8,82.3856511985247,0.00013923235657898605,0.3727349468377088,0.06829667358101332
Ag-aSi,exp1,50,9,81.77464119852473,0.0001382832223371104,0.9962893377420258,0.17238790562776884
Ag-aSi,exp2,100,1,175.79610464552155,0.00042596330688070137,0.6408835613870844,0.09447746902750254
Ag-aSi,exp2,100,10,171.03678464552237,0.0004157071612941963,0.6444149073111248,0.10694625050410878
Ag-aSi,exp2,100,2,173.30190464552157,0.00042658257096642155,0.11879316244451371,0.03717109435841692
Ag-aSi,exp2,100,3,174.38802464552145,0.0004263667402215648,0.22768759860056775,0.04538637741563534
Ag-aSi,exp2,100,4,172.92762464552214,0.0004245864841344492,0.944603030488733,0.16941292897792692
Ag-aSi,exp2,100,5,174.93426464552226,0.00042856122568860186,1.786337095214914,0.32838306876004353
Ag-aSi,exp2,100,6,169.3761046455216,0.0004185385951221153,0.12393137783918437,0.03156474949510368
Ag-aSi,exp2,100,7,170.88462464552174,0.00042149786817596326,0.19794925705361005,0.04225590522971956
Ag-aSi,exp2,100,8,175.31382464552206,0.000429184353668317,0.4815903601644339,0.07975009609999972
Ag-aSi,exp2,100,9,173.56710464552185,0.000423791812385034,2.480553622663164,0.5258330561497857
Ag-aSi,exp2,1,1,105.70068064645515,0.0002495350828268965,49.704069569074285,6.656358749427808
Ag-aSi,exp2,1,10,105.70068064645515,0.0002501768051044176,43.98112110370222,5.95191215937859
Ag-aSi,exp2,1,2,105.70068064645515,0.0002497057381058735,49.177205972660985,6.591690024989532
Ag-aSi,exp2,1,3,105.70068064645515,0.00024982227139290177,45.12427014608445,6.09108921705125
